,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000180697.9,5.155480846,2.030151085,0.230751384,8.798001781,1.39E-18,8.00E-18
ENSG00000181029.9,321.8595394,1.107828343,0.070667729,15.67658057,2.19E-55,7.88E-54
ENSG00000181218.5,894.1374843,1.664742189,0.09149902,18.19409851,5.75E-74,4.40E-72
ENSG00000181260.8,0.962331346,1.252319315,0.256882886,4.875059344,1.09E-06,2.60E-06
ENSG00000181856.15,243.4807743,1.054913747,0.146583895,7.196655165,6.17E-13,2.42E-12
ENSG00000182050.13,1431.223647,1.379820925,0.138836568,9.938454603,2.83E-23,2.16E-22
ENSG00000182264.9,36.46296842,1.4135957,0.152683369,9.258347593,2.08E-20,1.35E-19
ENSG00000182459.5,5.485829554,2.357018005,0.244966692,9.621789747,6.47E-22,4.56E-21
ENSG00000182477.5,1.759747886,1.27978952,0.208047732,6.151422596,7.68E-10,2.37E-09
ENSG00000182747.5,15.12692188,1.979000698,0.187088868,10.57786453,3.77E-26,3.41E-25
ENSG00000182752.10,151.8356268,1.192528597,0.140987885,8.4583764,2.71E-17,1.43E-16
ENSG00000183032.12,51.12629369,2.187293883,0.116554566,18.76626515,1.43E-78,1.24E-76
ENSG00000183090.5,558.4824381,2.547609371,0.24017993,10.6070868,2.76E-26,2.52E-25
ENSG00000183166.11,3643.446158,1.159070164,0.179661061,6.451426682,1.11E-10,3.66E-10
ENSG00000183248.12,2644.505379,1.066298625,0.102308755,10.42235947,1.96E-25,1.69E-24
ENSG00000183304.10,2.334576736,3.54237675,0.497957154,7.113818375,1.13E-12,4.34E-12
ENSG00000183421.12,15.86829276,1.905042419,0.241498543,7.888421992,3.06E-15,1.41E-14
ENSG00000183496.6,645.7827161,1.038007331,0.099325068,10.45060782,1.46E-25,1.27E-24
ENSG00000183542.5,48.58843028,2.596783211,0.170524603,15.22820263,2.30E-52,7.32E-51
ENSG00000183559.12,2.410398845,3.149673197,0.336513363,9.359726976,7.99E-21,5.32E-20
ENSG00000183570.16,889.1545626,1.567122043,0.106867975,14.66409412,1.09E-48,2.99E-47
ENSG00000183628.14,76.27766946,2.124362931,0.231235099,9.18702628,4.04E-20,2.57E-19
ENSG00000183654.9,51.06924628,1.048897247,0.211564118,4.957822037,7.13E-07,1.73E-06
ENSG00000183674.12,0.989732887,1.49264326,0.334429453,4.463252999,8.07E-06,1.79E-05
ENSG00000183691.6,961.0094016,2.611690676,0.122846916,21.25971712,2.68E-100,5.54E-98
ENSG00000183733.6,1.897852511,1.582638423,0.239228214,6.615601055,3.70E-11,1.27E-10
ENSG00000184194.6,3663.705098,1.044558214,0.054175497,19.28100825,7.76E-83,7.96E-81
ENSG00000184221.13,32528.24637,1.206328399,0.104105717,11.58753266,4.77E-31,5.62E-30
ENSG00000184261.5,494.4461039,1.004760867,0.162654695,6.177263245,6.52E-10,2.03E-09
ENSG00000184384.14,5611.55853,1.127487593,0.072593407,15.53154268,2.12E-54,7.34E-53
ENSG00000184564.11,18.53161537,1.505881734,0.222790718,6.759176266,1.39E-11,4.91E-11
ENSG00000184571.13,4.527826301,1.15080156,0.22581762,5.096154848,3.47E-07,8.64E-07
