,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NA.46,NA,NA,NA,NA,NA,NA
ENSG00000178718.7,228.7866473,-1.121846889,0.124267349,-9.027688243,1.75E-19,1.07E-18
ENSG00000178732.5,3.955592018,-1.453352502,0.169486519,-8.575033071,9.91E-18,5.38E-17
ENSG00000178734.5,4.012163734,-2.824624358,0.246300224,-11.46821678,1.91E-30,2.19E-29
ENSG00000178772.7,0.62967685,-1.106707113,0.345865989,-3.199814805,0.001375159,0.002405239
ENSG00000178776.5,0.322068244,-1.174638954,0.44008654,-2.669109023,0.007605276,0.012099775
ENSG00000178804.7,0.455858583,-3.170328589,0.57885375,-5.476907746,4.33E-08,1.17E-07
ENSG00000178814.17,397.8121866,-2.065164179,0.106524918,-19.38667708,1.00E-83,1.04E-81
NA.47,NA,NA,NA,NA,NA,NA
ENSG00000178965.14,632.3366508,-1.20197024,0.214961711,-5.591555052,2.25E-08,6.22E-08
ENSG00000179023.8,9.870286269,-3.598072621,0.29285924,-12.28601364,1.08E-34,1.53E-33
ENSG00000179066.8,7.559288821,-1.516919659,0.177160194,-8.562418153,1.11E-17,5.99E-17
ENSG00000179071.5,88.85854583,-1.655462344,0.129656683,-12.76804487,2.47E-37,3.97E-36
ENSG00000179104.9,1657.720982,-1.114674602,0.111056603,-10.03699533,1.05E-23,8.22E-23
ENSG00000179133.15,14.2350756,-1.735478932,0.156451247,-11.09277785,1.36E-28,1.41E-27
ENSG00000179242.16,1942.509876,-1.574981882,0.105018802,-14.99714198,7.66E-51,2.29E-49
ENSG00000179253.3,0.988866188,-1.587201787,0.271923169,-5.836949435,5.32E-09,1.54E-08
ENSG00000179277.9,93.58807819,-1.554704247,0.115872112,-13.41741529,4.78E-41,9.30E-40
ENSG00000179299.17,62.62406971,-3.403117724,0.105484648,-32.26173456,2.41E-228,3.93E-224
ENSG00000179344.16,1628.905729,-1.186084088,0.185313176,-6.400430428,1.55E-10,5.06E-10
ENSG00000179399.15,569.0065491,-1.550409716,0.172147381,-9.006292765,2.13E-19,1.28E-18
ENSG00000179403.12,2746.732871,-1.374832365,0.120608098,-11.39917123,4.22E-30,4.75E-29
ENSG00000179546.4,42.03231531,-1.206625503,0.171383872,-7.040484553,1.92E-12,7.25E-12
ENSG00000179583.19,936.8948065,-1.117733275,0.161624051,-6.915637027,4.66E-12,1.71E-11
ENSG00000179593.16,283.8957949,-1.022301529,0.226462307,-4.514223758,6.35E-06,1.42E-05
ENSG00000179627.10,246.8128528,-1.250802136,0.114354168,-10.93796716,7.59E-28,7.58E-27
ENSG00000179761.12,1527.633609,-2.198313544,0.104598028,-21.01677817,4.61E-98,8.26E-96
ENSG00000179813.7,14.58515607,-3.764313773,0.341464576,-11.02402426,2.93E-28,2.99E-27
ENSG00000179862.7,184.7133463,-1.405822641,0.125594894,-11.19331047,4.40E-29,4.67E-28
ENSG00000179869.15,62.46586188,-2.592637621,0.186436128,-13.90630483,5.80E-44,1.30E-42
ENSG00000179902.13,257.266263,-1.583005791,0.176823182,-8.952478805,3.48E-19,2.06E-18
ENSG00000179930.6,10.81337399,-1.880858459,0.184935235,-10.17036294,2.69E-24,2.17E-23
ENSG00000179934.7,0.765249626,-1.589663172,0.294080586,-5.405535918,6.46E-08,1.72E-07
ENSG00000179954.16,281.0485981,-1.894893526,0.112268392,-16.87824583,6.50E-64,3.39E-62
ENSG00000180043.11,0.424073712,-1.432482782,0.397047787,-3.6078347,0.000308763,0.000580826
ENSG00000180116.15,2.434992242,-1.567753259,0.188015945,-8.338405872,7.53E-17,3.89E-16
ENSG00000180178.11,0.727473353,-1.06228792,0.255027735,-4.165381928,3.11E-05,6.53E-05
ENSG00000180264.11,17.68568951,-3.994086137,0.285826018,-13.97383683,2.25E-44,5.15E-43
ENSG00000180269.8,22.13176272,-1.926905885,0.316702459,-6.084278252,1.17E-09,3.57E-09
ENSG00000180287.17,393.377581,-1.792888123,0.15736253,-11.39336104,4.51E-30,5.06E-29
ENSG00000180318.4,1.981447337,-2.318199867,0.292292608,-7.931093025,2.17E-15,1.01E-14
ENSG00000180340.7,324.2873913,-1.313405029,0.108603651,-12.09356245,1.14E-33,1.54E-32
ENSG00000180347.13,99.63306611,-5.686968414,0.286964107,-19.81769938,2.09E-87,2.41E-85
ENSG00000180509.12,9.798042037,-1.049421954,0.130946215,-8.014144987,1.11E-15,5.26E-15
ENSG00000180592.17,92.78598986,-1.585005261,0.126623189,-12.51749601,5.99E-36,9.02E-35
ENSG00000180613.11,48.41816561,-3.7023545,0.221361639,-16.7253663,8.56E-63,4.26E-61
ENSG00000180638.19,363.6703031,-2.402603861,0.210454312,-11.41627292,3.47E-30,3.93E-29
ENSG00000180644.8,80.92067913,-1.266026433,0.148749564,-8.511127043,1.72E-17,9.21E-17
ENSG00000180660.8,57.8092618,-2.327053136,0.148976226,-15.62029865,5.30E-55,1.89E-53
ENSG00000180758.12,60.31285186,-2.65026604,0.108722823,-24.37635414,3.05E-131,1.31E-128
ENSG00000180785.10,9.987468766,-2.220224351,0.242227041,-9.16588148,4.91E-20,3.11E-19
ENSG00000180801.14,244.2165983,-2.430629595,0.133349263,-18.22754429,3.12E-74,2.42E-72
ENSG00000180806.5,16.3437015,-3.789046449,0.442322837,-8.566246496,1.07E-17,5.79E-17
ENSG00000180818.5,54.70402765,-5.898415305,0.372170285,-15.8487003,1.44E-56,5.41E-55
ENSG00000180914.10,887.5381211,-1.523490716,0.18268459,-8.339459354,7.46E-17,3.85E-16
ENSG00000181019.13,1057.085258,-1.032048341,0.103032065,-10.01676845,1.29E-23,1.00E-22
ENSG00000181036.14,13.39713885,-1.165828685,0.139824464,-8.337801942,7.57E-17,3.90E-16
ENSG00000181085.15,73.94633376,-2.374374564,0.243804507,-9.738846063,2.06E-22,1.50E-21
ENSG00000181092.10,1.049899365,-1.316291693,0.231555876,-5.684553188,1.31E-08,3.69E-08
ENSG00000181350.12,351.2538873,-1.219622166,0.094680348,-12.88147103,5.72E-38,9.43E-37
ENSG00000181378.14,69.66646384,-1.704565819,0.158940142,-10.72457717,7.80E-27,7.35E-26
ENSG00000181481.14,503.8189375,-1.332864621,0.091725378,-14.53103439,7.70E-48,2.03E-46
ENSG00000181541.6,5.117419306,-5.370088319,0.264553797,-20.2986628,1.32E-91,1.81E-89
ENSG00000181562.5,1.159390973,-4.394171821,0.354610098,-12.39155864,2.90E-35,4.25E-34
ENSG00000181577.16,14.96471497,-1.136857442,0.257423229,-4.416297028,1.00E-05,2.21E-05
ENSG00000181649.8,27.65059869,-1.733689353,0.203172542,-8.533088837,1.42E-17,7.67E-17
ENSG00000181652.19,63.09043825,-1.436463307,0.113714516,-12.6321894,1.40E-36,2.17E-35
ENSG00000181690.8,107.7939008,-1.053613149,0.116925577,-9.010972414,2.04E-19,1.23E-18
