"","ENSG00000277655.1","ENSG00000237187.9","ENSG00000146278.11","ENSG00000260851.7","ENSG00000262663.1","ENSG00000188585.9","ENSG00000138646.9","ENSG00000243316.7","ENSG00000148400.12","ENSG00000236712.1","ENSG00000286951.1","ENSG00000278395.1","ENSG00000275088.1","ENSG00000259130.2","ENSG00000277972.2","ENSG00000173930.9","ENSG00000251977.1","ENSG00000229169.1","ENSG00000254398.1","ENSG00000252651.1","ENSG00000214245.3","ENSG00000271803.1","ENSG00000267116.1","ENSG00000164070.12","ENSG00000236733.1","ENSG00000244255.5","ENSG00000168724.17","ENSG00000277391.1","ENSG00000184575.12","ENSG00000149451.18","ENSG00000233357.2","ENSG00000262730.1","ENSG00000223315.1","ENSG00000005486.17","ENSG00000159409.15","ENSG00000254820.1","ENSG00000243849.2","ENSG00000127241.18","ENSG00000204780.5","ENSG00000001626.16","ENSG00000265144.1","ENSG00000236797.1","ENSG00000252686.1","ENSG00000177173.5","ENSG00000224634.1","ENSG00000265014.1","ENSG00000006638.13","ENSG00000278497.1","ENSG00000230758.1","ENSG00000239614.1"
"TCGA-DU-A5TR-01A-11R-A28M-07",1,1139,3479,2,2,0,411,1,6635,2,0,0,1,1,1038,2,0,0,1,0,0,0,0,334,0,0,1029,0,3221,132,0,0,0,9792,516,0,3,10551,0,103,0,12,0,2,0,0,316,0,0,0
"TCGA-RY-A843-01A-11R-A36H-07",1,2572,4434,10,11,0,509,4,8286,0,1,0,3,4,564,4,0,0,8,0,0,7,0,1453,0,0,1350,1,6676,131,0,0,0,9403,3076,1,2,11367,0,292,0,1,0,3,0,0,63,0,2,3
"TCGA-DU-7304-01A-12R-2090-07",1,3095,3769,10,64,0,398,1,19123,0,0,0,37,3,918,11,0,0,10,0,0,1,0,1735,0,0,2169,0,6488,138,0,0,0,9421,2224,0,1,7010,0,157,0,3,0,0,0,0,127,0,0,2
"TCGA-S9-A6U9-01A-11R-A32Q-07",1,2097,4424,6,6,0,826,0,7435,0,0,0,6,1,733,0,0,0,3,0,0,1,0,494,0,0,1617,0,3813,278,0,0,0,7356,490,0,3,6930,0,161,1,8,0,10,0,0,126,0,1,0
"TCGA-S9-A6TZ-01A-21R-A32Q-07",1,3687,4356,13,19,1,1756,0,31361,0,1,0,6,49,747,0,0,1,14,0,0,3,0,1698,0,0,2525,0,13005,187,0,0,0,7351,4420,0,10,12597,0,588,0,3,0,8,0,0,180,0,1,0
"TCGA-FG-A4MX-01A-11R-A26U-07",0,745,1108,3,4,2,737,3,2915,0,0,0,4,1,202,2,0,0,1,1,0,3,0,370,0,0,696,0,2624,365,0,0,0,2834,350,0,6,2118,0,38,0,1,0,0,0,0,43,0,0,0
"TCGA-HW-A5KK-01A-11R-A27Q-07",1,1387,5005,5,79,0,1075,0,7325,1,1,0,2,10,784,0,0,0,4,0,0,1,0,991,0,0,2078,0,5039,1192,0,0,0,9179,583,0,8,2437,0,188,0,3,0,1,0,0,211,0,1,1
"TCGA-DU-6401-01A-11R-1708-07",0,1075,3459,7,7,0,1147,0,32501,0,0,0,1,1,478,2,0,0,1,0,0,0,0,1727,0,0,1119,0,10110,118,0,0,0,7848,823,0,2,13499,0,155,0,0,0,6,0,0,61,0,0,1
"TCGA-DU-7015-01A-11R-2027-07",0,3034,3827,1,1,0,598,0,22228,0,0,0,3,49,1035,0,0,0,1,0,0,0,0,1326,0,0,1815,0,10126,29,0,0,0,7491,1928,0,1,15016,1,143,1,3,0,0,0,0,61,0,0,1
"TCGA-S9-A7IY-01A-11R-A34F-07",0,1729,3357,6,16,0,661,0,14858,0,0,0,5,5,868,9,0,0,3,0,1,1,0,720,0,0,1213,0,6470,150,0,0,0,7796,1836,0,2,8871,0,101,0,1,0,4,0,0,78,0,0,2
